UniProtKB:Q9BQD7	ANTKMT
UniProtKB:Q13029	PRDM2
UniProtKB:O60294	LCMT2
UniProtKB:Q9BVS5	TRMT61B
UniProtKB:Q9BRP7	FDXACB1
UniProtKB:P46087	NOP2
UniProtKB:Q9BV86	NTMT1
UniProtKB:Q9BUU2	METTL22
UniProtKB:Q9BV44	THUMPD3
ComplexPortal:CPX-6161	hsd17b10-trmt10c_human
UniProtKB:A8MUP2	CSKMT
UniProtKB:P40261	NNMT
ComplexPortal:CPX-26423	fbl_rnp_human
UniProtKB:Q8N6R0	METTL13
ComplexPortal:CPX-26377	fbll1_rnp_human
UniProtKB:Q9NQR1	KMT5A
UniProtKB:Q9NQV7	PRDM9
UniProtKB:O14686	KMT2D
UniProtKB:Q9NQX0	PRDM6
UniProtKB:O95050	INMT
UniProtKB:Q8NB12	SMYD1
UniProtKB:Q93088	BHMT
UniProtKB:O14744	PRMT5
UniProtKB:O14717	TRDMT1
UniProtKB:Q8NCA5	FAM98A
UniProtKB:Q9UBP6	METTL1
UniProtKB:Q9UBM1	PEMT
UniProtKB:P50135	HNMT
UniProtKB:Q8N1G2	CMTR1
UniProtKB:Q5TEU4	NDUFAF5
UniProtKB:Q15910	EZH2
ComplexPortal:CPX-2871	bud23-trmt112_human
ComplexPortal:CPX-2852	thumpd2_trmt112_human
ComplexPortal:CPX-2850	mettl5-trmt112_human
ComplexPortal:CPX-2848	trmt11-trmt112_human
UniProtKB:Q03112	MECOM
UniProtKB:Q8N4J0	CARNMT1
UniProtKB:Q8N3J2	METTL4
UniProtKB:P16455	MGMT
ComplexPortal:CPX-2486	thumpd3_trmt112_human
UniProtKB:Q99707	MTR
UniProtKB:Q8WXB1	METTL21A
UniProtKB:Q99873	PRMT1
UniProtKB:Q92979	EMG1
UniProtKB:Q8WTS6	SETD7
UniProtKB:Q8IZ69	TRMT2A
UniProtKB:Q8IYT2	CMTR2
UniProtKB:Q4FZB7	KMT5B
UniProtKB:Q96FX7	TRMT61A
ComplexPortal:CPX-848	mettl1-wdr4_human
UniProtKB:Q08J23	NSUN2
UniProtKB:Q96T68	SETDB2
UniProtKB:Q8WZ04	TOMT
UniProtKB:Q15047	SETDB1
UniProtKB:Q8TCB7	METTL6
UniProtKB:Q8TBZ6	TRMT10A
UniProtKB:Q8IYR2	SMYD4
UniProtKB:Q8IYL2	TRMT44
UniProtKB:Q92800	EZH1
UniProtKB:Q8TEK3	DOT1L
UniProtKB:Q8TEA1	NSUN6
UniProtKB:Q9BZ95	NSD3
UniProtKB:Q9BYW2	SETD2
UniProtKB:Q5T8I9	HENMT1
UniProtKB:Q8TBK2	SETD6
UniProtKB:Q6IPR3	TYW3
UniProtKB:Q8IY81	FTSJ3
UniProtKB:Q8IXQ9	ETFBKMT
UniProtKB:Q6IN84	MRM1
UniProtKB:Q96CB9	NSUN4
UniProtKB:Q8NEZ4	KMT2C
UniProtKB:Q8WVM0	TFB1M
UniProtKB:Q8WVE0	EEF1AKMT1
UniProtKB:O96028	NSD2
UniProtKB:Q9NRG4	SMYD2
UniProtKB:Q6GMV2	SMYD5
UniProtKB:Q9H5U6	ZCCHC4
UniProtKB:Q9NQX1	PRDM5
UniProtKB:Q9NQW5	PRDM7
UniProtKB:Q9H649	NSUN3
UniProtKB:Q9NQV8	PRDM8
UniProtKB:Q9NQV5	PRDM11
UniProtKB:Q9H5Q4	TFB2M
UniProtKB:Q9NR48	ASH1L
UniProtKB:Q9H8H3	TMT1A
UniProtKB:Q9H867	VCPKMT
UniProtKB:Q9H825	METTL8
UniProtKB:Q9Y5R4	HEMK1
UniProtKB:Q9UET6	FTSJ1
UniProtKB:Q9NVM4	PRMT7
UniProtKB:Q9NVL1	FAM86C1P
UniProtKB:Q9NVD3	SETD4
UniProtKB:Q9UIC8	LCMT1
UniProtKB:Q96G04	EEF2KMT
UniProtKB:Q9UBC3	DNMT3B
UniProtKB:Q9UI43	MRM2
UniProtKB:Q9UI30	TRMT112
UniProtKB:Q96FB5	METTL25B
UniProtKB:Q96AZ1	EEF1AKMT3
UniProtKB:Q8NE18	NSUN7
UniProtKB:Q53H54	TRMT12
UniProtKB:Q53H47	SETMAR
UniProtKB:Q96P11	NSUN5
UniProtKB:Q7L2J0	MEPCE
UniProtKB:Q6PF06	TRMT10B
UniProtKB:P51580	TPMT
UniProtKB:Q86XA0	METTL23
UniProtKB:Q86U44	METTL3
UniProtKB:Q7L0Y3	TRMT10C
UniProtKB:Q6UX53	TMT1B
UniProtKB:P04818	TYMS
UniProtKB:Q86VU5	COMTD1
UniProtKB:Q86W50	METTL16
UniProtKB:Q9HBK9	AS3MT
UniProtKB:Q9HAZ2	PRDM16
UniProtKB:Q9HCE5	METTL14
UniProtKB:Q9HC36	MRM3
UniProtKB:Q9NXH9	TRMT1
UniProtKB:Q1RMZ1	SAMTOR
UniProtKB:Q5T280	SPOUT1
UniProtKB:O60725	ICMT
UniProtKB:Q63ZY6	NSUN5P2
UniProtKB:Q9P272	TRMT9B
UniProtKB:P55345	PRMT2
UniProtKB:Q7Z5W3	BCDIN3D
UniProtKB:Q7Z624	CAMKMT
UniProtKB:Q7Z4G4	TRMT11
UniProtKB:P21964	COMT
UniProtKB:Q3KNT7	NSUN5P1
UniProtKB:P26358	DNMT1
UniProtKB:Q7L592	NDUFAF7
UniProtKB:Q86X55	CARM1
UniProtKB:Q96IZ6	METTL2A
UniProtKB:O75626	PRDM1
UniProtKB:Q9H1A3	METTL9
UniProtKB:Q9UPS6	SETD1B
UniProtKB:Q9H7B4	SMYD3
UniProtKB:P0DPD8	EEF1AKMT4-ECE2
UniProtKB:P0DPD6	ECE2
UniProtKB:Q32P41	TRMT5
UniProtKB:Q9NR22	PRMT8
UniProtKB:Q9UNQ2	DIMT1
UniProtKB:Q96LA8	PRMT6
UniProtKB:Q9H5I1	SUV39H2
UniProtKB:Q5JXM2	METTL24
UniProtKB:Q96L73	NSD1
UniProtKB:Q9H4Z3	PCIF1
UniProtKB:Q96KQ7	EHMT2
UniProtKB:Q52LJ0	FAM98B
UniProtKB:Q9Y6K1	DNMT3A
UniProtKB:Q9H2P9	DPH5
UniProtKB:Q9H2M3	BHMT2
UniProtKB:Q9UKN5	PRDM4
UniProtKB:Q96GJ1	TRMT2B
UniProtKB:Q96RS0	TGS1
UniProtKB:Q9GZV8	PRDM14
UniProtKB:O15047	SETD1A
UniProtKB:Q9NUP7	TRMT13
UniProtKB:Q9H9B1	EHMT1
UniProtKB:Q9H993	ARMT1
UniProtKB:P11086	PNMT
UniProtKB:Q7Z2T5	TRMT1L
UniProtKB:P46597	ASMT
UniProtKB:Q9NZJ6	COQ3
UniProtKB:Q03164	KMT2A
UniProtKB:Q13395	TARBP1
UniProtKB:O43463	SUV39H1
UniProtKB:Q9H4Q3	PRDM13
UniProtKB:Q9UMN6	KMT2B
UniProtKB:Q5HYK3	COQ5
UniProtKB:Q86Y97	KMT5C
UniProtKB:Q14353	GAMT
UniProtKB:Q9Y5N5	HEMK2
UniProtKB:Q5JPI9	EEF1AKMT2
UniProtKB:O95671	ASMTL
UniProtKB:Q9C0A6	SETD5
UniProtKB:O43709	BUD23
UniProtKB:P0C5J1	FAM86B2
UniProtKB:A6NDL7	METTL21EP
UniProtKB:Q6P4H8	ATPSCKMT
UniProtKB:Q8NE22	SETD9
ComplexPortal:CPX-8781	ramac-rnmt-1
UniProtKB:O95568	METTL18
UniProtKB:O43148	RNMT
UniProtKB:A6NJ78	METTL15
UniProtKB:Q5VVY1	NTMT2
UniProtKB:A6NEL3	FAM86C2P
UniProtKB:A6NHQ2	FBLL1
UniProtKB:Q96BT7	ALKBH8
UniProtKB:O43159	RRP8
UniProtKB:Q6P2P2	PRMT9
UniProtKB:Q6P1Q9	METTL2B
UniProtKB:Q14749	GNMT
UniProtKB:P22061	PCMT1
UniProtKB:P22087	FBL
UniProtKB:P0C7V9	METTL15P1
UniProtKB:Q5VZV1	METTL21C
ComplexPortal:CPX-21210	mettl3-mettl14_human
UniProtKB:Q86TU7	SETD3
UniProtKB:Q8N6Q8	METTL25
UniProtKB:Q9BU70	TRMO
UniProtKB:O60678	PRMT3
UniProtKB:Q9BTF0	THUMPD2
UniProtKB:Q8N7N1	FAM86B1
UniProtKB:P57071	PRDM15
UniProtKB:P0DPD7	EEF1AKMT4
UniProtKB:Q9NRN9	METTL5
